,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
198,Maruti Suzuki Baleno - 2018,PLATINUM,Pune,"₹6,45,199","30,854 kms ", Petrol , 2nd Owner, 2018,Maruti
199,Ford Ecosport - 2017,PLATINUM,Pune,"₹8,11,899","24,680 kms ", Petrol , 2nd Owner, 2017,Ford
200,Volkswagen Vento - 2015,PLATINUM,Pune,"₹5,57,799","85,663 kms ", Petrol , 1st Owner, 2015,Volkswagen
201,Mahindra Bolero - 2021,PLATINUM,Pune,"₹8,73,999","20,541 kms ", Diesel , 2nd Owner, 2021,Mahindra
202,Hyundai i20 Magna O 1.2 - 2010,PLATINUM,Pune,"₹2,78,299","64,182 kms ", Petrol , 1st Owner, 2010,Hyundai
203,Maruti Suzuki S Cross - 2017,PLATINUM,Pune,"₹9,86,399","58,819 kms ", Diesel , 2nd Owner, 2017,Maruti
204,Maruti Suzuki Wagon R - 2019,PLATINUM,Pune,"₹6,10,099","32,057 kms ", Petrol , 2nd Owner, 2019,Maruti
205,Jeep Compass - 2018,PLATINUM,Pune,"₹17,49,899","18,403 kms ", Petrol , 2nd Owner, 2018,Jeep
206,Maruti Suzuki Alto K10 Vxi O AMT - 2018,PLATINUM,Pune,"₹4,43,899","7,877 kms ", Petrol , 2nd Owner, 2018,Maruti
207,Hyundai Verna 1.6 SX VTVT - 2018,PLATINUM,Pune,"₹9,36,299","15,509 kms ", Petrol , 2nd Owner, 2018,Hyundai
208,Honda Jazz VX AT - 2018,GOLD,Madurai,"₹8,50,000","15,000 kms ", Petrol,, 2018,Honda
209,Maruti Suzuki Ignis Zeta 1.3 AT - 2017,GOLD,Madurai,"₹5,95,000","75,000 kms ", Diesel,, 2017,Maruti
210,Hyundai i10 Magna 1.1 iRDE2 - 2008,GOLD,Mumbai,"₹1,75,000","62,000 kms ", Petrol,, 2008,Hyundai
211,Hyundai Creta 1.6 VTVT SX AUTO - 2018,GOLD,Chennai,"₹9,30,000","1,34,500 kms ", Diesel,, 2018,Hyundai
212,Toyota Fortuner 3.0 MT 4X4 - 2012,GOLD,BolpurSantiniketan,"₹15,00,000","63,896 kms ", Diesel,, 2012,Toyota
213,Mahindra Scorpio - 2005,GOLD,Chennai,"₹1,59,000","90,000 kms ", Diesel,, 2005,Mahindra
214,Maruti Suzuki Alto - 2007,GOLD,Chennai,"₹69,000","58,000 kms ", Petrol,, 2007,Maruti
215,Ford Ikon - 2008,GOLD,Chennai,"₹69,000","85,000 kms ", Diesel,, 2008,Ford
216,Maruti Suzuki Baleno - 2016,PLATINUM,Pune,"₹5,80,599","48,329 kms ", Petrol , 1st Owner, 2016,Maruti
217,Renault Kwid RXT Opt - 2019,PLATINUM,Pune,"₹4,04,499","21,301 kms ", Petrol , 2nd Owner, 2019,Renault
218,Maruti Suzuki Vitara Brezza VDi - 2019,PLATINUM,Pune,"₹8,38,699","34,566 kms ", Diesel , 2nd Owner, 2019,Maruti
219,Renault Kwid - 2018,PLATINUM,Pune,"₹4,46,499","34,297 kms ", Petrol , 2nd Owner, 2018,Renault
220,Tata Hexa - 2017,PLATINUM,Pune,"₹10,47,499","1,19,571 kms ", Diesel , 2nd Owner, 2017,Tata
221,Maruti Suzuki Alto 800 Lxi - 2018,PLATINUM,Pune,"₹3,45,599","27,957 kms ", Petrol , 2nd Owner, 2018,Maruti
222,Ford Ecosport - 2018,PLATINUM,Pune,"₹7,84,399","27,210 kms ", Petrol , 2nd Owner, 2018,Ford
223,Maruti Suzuki Swift Vxi - 2014,PLATINUM,Pune,"₹4,89,399","21,610 kms ", Petrol , 2nd Owner, 2014,Maruti
224,Maruti Suzuki Baleno - 2017,PLATINUM,Pune,"₹6,27,499","40,902 kms ", Petrol , 2nd Owner, 2017,Maruti
225,Maruti Suzuki Alto 800 Lxi - 2015,PLATINUM,Pune,"₹2,88,399","11,057 kms ", Petrol , 2nd Owner, 2015,Maruti
226,Maruti Suzuki Baleno - 2016,PLATINUM,Pune,"₹5,73,999","72,505 kms ", Petrol , 2nd Owner, 2016,Maruti
227,Hyundai Creta - 2018,PLATINUM,Pune,"₹13,73,699","31,338 kms ", Petrol , 1st Owner, 2018,Hyundai
228,Maruti Suzuki Alto 800 Lxi - 2016,PLATINUM,Pune,"₹2,79,799","28,674 kms ", Petrol , 2nd Owner, 2016,Maruti
229,Hyundai Elite i20 Sportz 1.2 - 2018,PLATINUM,Pune,"₹6,58,199","25,416 kms ", Petrol , 1st Owner, 2018,Hyundai
230,Hyundai Grand i10 Sportz 1.2 Kappa VTVT - 2016,PLATINUM,Pune,"₹4,65,499","14,765 kms ", Petrol , 2nd Owner, 2016,Hyundai
231,Toyota Etios - 2015,PLATINUM,Pune,"₹5,63,999","60,380 kms ", Diesel , 1st Owner, 2015,Toyota
232,Hyundai Santro - 2001,GOLD,Chennai,"₹59,000","85,000 kms ", Petrol,, 2001,Hyundai
233,Hyundai Getz - 2006,GOLD,Chennai,"₹1,19,000","73,000 kms ", Petrol,, 2006,Hyundai
234,Hyundai Santro Xing - 2004,GOLD,Chennai,"₹69,000","85,000 kms ", Petrol,, 2004,Hyundai
235,Hyundai Santro - 2002,GOLD,Chennai,"₹89,000","85,000 kms ", Petrol,, 2002,Hyundai
236,Ford Figo - 2012,GOLD,Chennai,"₹1,29,000","86,000 kms ", Diesel,, 2012,Ford
237,Toyota Fortuner 2.8 4x2 MT - 2019,GOLD,Lucknow,"₹29,31,000","55,000 kms ", Diesel,, 2019,Toyota
238,Mahindra Bolero ZLX BS IV - 2018,GOLD,Chennai,"₹7,90,000","79,950 kms ", Diesel,, 2018,Mahindra
239,Fiat Linea Emotion Pack - 2009,GOLD,Chennai,"₹2,00,000","75,000 kms ", Diesel,, 2009,Fiat
240,Maruti Suzuki Baleno - 2018,PLATINUM,Pune,"₹7,18,699","19,775 kms ", Petrol , 2nd Owner, 2018,Maruti
241,Tata Tiago - 2018,PLATINUM,Pune,"₹5,43,399","28,495 kms ", Petrol , 1st Owner, 2018,Tata
242,Hyundai Creta - 2020,PLATINUM,Pune,"₹17,80,399","28,344 kms ", Diesel , 2nd Owner, 2020,Hyundai
243,Toyota Glanza - 2020,PLATINUM,Pune,"₹7,57,999","10,801 kms ", Petrol , 2nd Owner, 2020,Toyota
244,Tata Nexon - 2019,PLATINUM,Pune,"₹10,13,999","4,365 kms ", Petrol , 1st Owner, 2019,Tata
245,Maruti Suzuki Celerio VDi - 2016,PLATINUM,Pune,"₹4,39,999","53,266 kms ", Diesel , 2nd Owner, 2016,Maruti
246,Maruti Suzuki S Cross - 2018,PLATINUM,Pune,"₹8,39,199","50,866 kms ", Diesel , 2nd Owner, 2018,Maruti
247,Maruti Suzuki Alto K10 Vxi - 2019,PLATINUM,Pune,"₹4,21,799","24,230 kms ", Petrol , 2nd Owner, 2019,Maruti
248,Maruti Suzuki Baleno - 2016,PLATINUM,Pune,"₹5,80,599","64,275 kms ", Petrol , 2nd Owner, 2016,Maruti
249,Hyundai Venue - 2019,PLATINUM,Pune,"₹9,86,799","8,924 kms ", Petrol , 2nd Owner, 2019,Hyundai
250,MG Motors Hector - 2021,PLATINUM,Pune,"₹20,57,399","12,208 kms ", Petrol , 2nd Owner, 2021,MG
251,Honda City V CVT - 2018,PLATINUM,Pune,"₹10,82,299","26,956 kms ", Petrol , 2nd Owner, 2018,Honda
252,Hyundai Grand i10 Sportz 1.2 Kappa VTVT - 2017,PLATINUM,Pune,"₹5,76,999","12,223 kms ", Petrol , 2nd Owner, 2017,Hyundai
253,Hyundai Grand i10 Sportz 1.2 Kappa VTVT - 2016,PLATINUM,Pune,"₹5,33,199","23,960 kms ", Petrol , 2nd Owner, 2016,Hyundai
254,Maruti Suzuki Wagon R 1.0 VXi AMT - 2015,PLATINUM,Pune,"₹4,73,299","33,687 kms ", Petrol , 2nd Owner, 2015,Maruti
255,MG Motors Hector - 2020,PLATINUM,Pune,"₹18,38,399","24,887 kms ", Petrol , 2nd Owner, 2020,MG
256,Toyota Innova 2.5 V 7 STR - 2013,GOLD,Mumbai,"₹8,00,000","74,000 kms ", Diesel , 2nd Owner, 2013,Toyota
257,Nissan Micra XE - 2011,GOLD,Bhubaneswar,"₹1,99,000","40,000 kms ", Petrol,, 2011,Nissan
258,Hyundai Creta 1.6 SX AT CRDI - 2020,GOLD,Pune,"₹17,50,000","45,000 kms ", Diesel,, 2020,Hyundai
259,Maruti Suzuki Swift Dzire ZDI AMT - 2018,GOLD,Chennai,"₹5,95,000","41,000 kms ", Diesel,, 2018,Maruti
260,Hyundai Grand i10 SPORTS 1.2 VTVT - 2014,GOLD,Pune,Ask For Price,"52,000 kms ", Petrol,, 2014,Hyundai
261,BMW 3 Series 320d Luxury Line - 2015,GOLD,Mumbai,"₹18,90,000","61,000 kms ", Diesel , 2nd Owner, 2015,BMW
262,Jaguar XF 2.2 Diesel Luxury - 2014,GOLD,Mumbai,"₹21,50,000","20,000 kms ", Diesel , 2nd Owner, 2014,Jaguar
263,Hyundai Verna Fluidic - 2015,GOLD,Mumbai,"₹6,99,000","26,000 kms ", Petrol , 1st Owner, 2015,Hyundai
264,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT - 2015,PLATINUM,Pune,"₹4,51,799","71,423 kms ", Petrol , 2nd Owner, 2015,Hyundai
265,Hyundai Grand i10 Sportz 1.2 Kappa VTVT - 2015,PLATINUM,Pune,"₹4,46,999","34,095 kms ", Petrol , 1st Owner, 2015,Hyundai
266,Maruti Suzuki Wagon R 1.0 VXi AMT - 2016,PLATINUM,Pune,"₹4,70,799","32,658 kms ", Petrol , 2nd Owner, 2016,Maruti
267,Maruti Suzuki Ignis - 2017,PLATINUM,Pune,"₹5,11,799","33,166 kms ", Petrol , 2nd Owner, 2017,Maruti
268,Maruti Suzuki Wagon R 1.0 Vxi - 2014,PLATINUM,Chennai,"₹3,99,899","31,284 kms ", Petrol , 2nd Owner, 2014,Maruti
269,Maruti Suzuki Wagon R 1.0 Vxi - 2015,PLATINUM,Pune,"₹3,75,999","66,090 kms ", Petrol , 2nd Owner, 2015,Maruti
270,Ford Ecosport - 2016,PLATINUM,Pune,"₹6,64,799","51,295 kms ", Petrol , 2nd Owner, 2016,Ford
271,Maruti Suzuki Baleno - 2016,PLATINUM,Pune,"₹6,17,799","48,693 kms ", Petrol , 2nd Owner, 2016,Maruti
272,Maruti Suzuki Ciaz - 2017,PLATINUM,Pune,"₹7,49,299","36,626 kms ", Diesel , 2nd Owner, 2017,Maruti
273,Renault Duster - 2016,PLATINUM,Pune,"₹7,95,799","55,752 kms ", Diesel , 2nd Owner, 2016,Renault
274,Tata Tigor - 2017,PLATINUM,Pune,"₹5,43,499","49,341 kms ", Diesel , 2nd Owner, 2017,Tata
275,Maruti Suzuki Alto K10 Vxi - 2015,PLATINUM,Chennai,"₹3,17,199","60,251 kms ", Petrol , 2nd Owner, 2015,Maruti
276,Maruti Suzuki Alto K10 VXi AMT - 2015,PLATINUM,Pune,"₹3,73,699","22,269 kms ", Petrol , 2nd Owner, 2015,Maruti
277,Volkswagen Ameo - 2016,PLATINUM,Pune,"₹5,01,799","38,999 kms ", Petrol , 2nd Owner, 2016,Volkswagen
278,Maruti Suzuki Vitara Brezza VDi - 2019,PLATINUM,Pune,"₹8,38,699","29,110 kms ", Diesel , 2nd Owner, 2019,Maruti
279,Hyundai Creta - 2020,PLATINUM,Pune,"₹18,04,399","14,506 kms ", Petrol , 2nd Owner, 2020,Hyundai
280,Chevrolet Beat LT Petrol - 2010,GOLD,Bangalore,"₹1,75,000","55,000 kms ", Petrol,, 2010,Chevrolet
281,Tata Hexa XM 4x2 7 STR - 2018,GOLD,Madurai,"₹12,00,000","60,000 kms ", Diesel,, 2018,Tata
282,Toyota Corolla H5 1.8E - 2006,GOLD,Chennai,"₹1,70,000","80,000 kms ", Petrol,, 2006,Toyota
283,Maruti Suzuki Maruti 800 Std BSII - 2005,GOLD,,"₹65,000","1,08,252 kms ", Petrol,, 2005,Maruti
284,Maruti Suzuki Wagon R VXI BS IV - 2014,GOLD,Chennai,"₹3,60,000","36,000 kms ", Petrol,, 2014,Maruti
285,Hyundai Xcent 1.2 S CRDI - 2016,GOLD,Chennai,"₹2,99,000","95,000 kms ", Diesel , 2nd Owner, 2016,Hyundai
286,Ford Figo 1.5 TITANIUM - 2010,GOLD,Chennai,"₹1,76,000","88,000 kms ", Diesel , 2nd Owner, 2010,Ford
287,Maruti Suzuki Wagon R LX BS IV - 2014,GOLD,Chennai,"₹3,25,000","60,000 kms ", Petrol , 1st Owner, 2014,Maruti
288,Hyundai Creta - 2020,PLATINUM,Pune,"₹18,04,399","14,506 kms ", Petrol , 2nd Owner, 2020,Hyundai
289,Maruti Suzuki S Cross - 2017,PLATINUM,Pune,"₹9,85,299","29,115 kms ", Diesel , 2nd Owner, 2017,Maruti
290,Maruti Suzuki Baleno - 2017,PLATINUM,Pune,"₹6,42,899","34,763 kms ", Petrol , 2nd Owner, 2017,Maruti
291,Maruti Suzuki Ciaz ZDi Plus SHVS RS - 2015,PLATINUM,Chennai,"₹7,40,000","12,500 kms ", Diesel , 2nd Owner, 2015,Maruti
292,Maruti Suzuki Baleno Zeta 1.3 - 2017,PLATINUM,Pune,"₹6,10,000","85,000 kms ", Petrol,, 2017,Maruti
293,Hyundai Grand i10 ASTA 1.2 O VTVT - 2016,PLATINUM,Pune,"₹4,95,000","40,000 kms ", Petrol,, 2016,Hyundai
294,Hyundai Verna 1.6 SX - 2014,PLATINUM,Pune,"₹5,10,000","71,000 kms ", Petrol,, 2014,Hyundai
295,Maruti Suzuki Baleno Delta 1.2 - 2017,PLATINUM,Pune,"₹5,60,000","44,000 kms ", Petrol,, 2017,Maruti
296,Toyota Innova 2.0 G4 - 2009,PLATINUM,Pune,"₹4,55,000","1,24,000 kms ", Diesel,, 2009,Toyota
297,Maruti Suzuki Wagon R 1.0 LXi CNG - 2012,PLATINUM,Pune,"₹3,50,000","78,000 kms ", CNG,, 2012,Maruti
298,Renault Kwid CLIMBER 1.0 AT - 2017,PLATINUM,Bangalore,"₹4,63,099","44,696 kms ", Petrol , 1st Owner, 2017,Renault
299,Maruti Suzuki Alto 800 Lxi - 2018,PLATINUM,Pune,"₹3,50,599","33,004 kms ", Petrol , 2nd Owner, 2018,Maruti
300,Hyundai Verna Fluidic 1.4 VTVT - 2016,PLATINUM,Chennai,"₹6,36,299","46,034 kms ", Petrol , 1st Owner, 2016,Hyundai
301,Hyundai Grand i10 NIOS - 2020,PLATINUM,Chennai,"₹6,98,199","60,307 kms ", Petrol , 1st Owner, 2020,Hyundai
302,Hyundai Grand i10 NIOS - 2021,PLATINUM,Chennai,"₹7,64,199","8,825 kms ", Petrol , 1st Owner, 2021,Hyundai
303,Maruti Suzuki Celerio VXi - 2019,PLATINUM,Chennai,"₹5,24,799","5,743 kms ", Petrol , 1st Owner, 2019,Maruti
304,Ford EcoSport Ambiente 1.5 TDCi - 2013,GOLD,Chennai,"₹4,20,000","87,000 kms ", Diesel , 1st Owner, 2013,Ford
305,Kia Seltos GTX Plus 1.4 - 2020,GOLD,Bangalore,"₹18,31,000","19,500 kms ", Petrol,, 2020,Kia
306,Chevrolet Beat LS Petrol - 2010,GOLD,Chennai,"₹2,10,000","60,000 kms ", Petrol,, 2010,Chevrolet
307,Volkswagen Vento Highline Petrol AT - 2013,GOLD,Chennai,"₹4,65,000","70,000 kms ", Petrol,, 2013,Volkswagen
308,Audi Q7 35 TDI Premium Plus Sunroof - 2017,GOLD,Chennai,"₹22,50,000","65,000 kms ", Diesel,, 2017,Audi
309,Maruti Suzuki Ertiga ZXI Plus SHVS - 2020,GOLD,Chennai,"₹10,90,000","35,623 kms ", Petrol,, 2020,Maruti
310,Toyota Innova - 2005,GOLD,Bangalore,"₹3,75,000","1,60,000 kms ", Petrol,, 2005,Toyota
311,Hyundai i20 Sportz 1.2 - 2009,GOLD,Chennai,"₹2,25,000","98,500 kms ", Petrol,, 2009,Hyundai
312,Maruti Suzuki Celerio VXi - 2019,PLATINUM,Chennai,"₹5,24,799","5,743 kms ", Petrol , 1st Owner, 2019,Maruti
313,Maruti Suzuki Eeco 5 STR WITH AC PLUSHTR - 2019,PLATINUM,Chennai,"₹4,93,899","25,735 kms ", Petrol , 1st Owner, 2019,Maruti
314,Hyundai Elite i20 1.2 ASTA O CVT - 2019,PLATINUM,Chennai,"₹8,25,299","37,522 kms ", Petrol , 2nd Owner, 2019,Hyundai
315,Maruti Suzuki Wagon R 1.0 VXi - 2018,PLATINUM,Chennai,"₹4,95,499","38,955 kms ", Petrol , 1st Owner, 2018,Maruti
316,Datsun Redi GO - 2017,PLATINUM,Chennai,Ask For Price,"40,664 kms ", Petrol , 1st Owner, 2017,Datsun
317,Hyundai Eon Era Plus - 2014,PLATINUM,Chennai,"₹2,77,599","65,308 kms ", Petrol , 1st Owner, 2014,Hyundai
318,Maruti Suzuki Wagon R Duo - 2017,PLATINUM,Chennai,"₹4,73,899","30,467 kms ", Petrol , 1st Owner, 2017,Maruti
319,Hyundai Venue S MT Turbo GDI 1.0L - 2019,PLATINUM,Chennai,"₹8,55,299","1,954 kms ", Petrol , 1st Owner, 2019,Hyundai
320,Hyundai Santro 1.1 SPORTS AMT - 2019,PLATINUM,Chennai,"₹5,40,299","35,220 kms ", Petrol , 1st Owner, 2019,Hyundai
321,Hyundai Elite i20 ASTA 1.2 O  - 2016,PLATINUM,Chennai,"₹6,42,899","75,876 kms ", Petrol , 1st Owner, 2016,Hyundai
322,Maruti Suzuki Alto VXi - 2021,PLATINUM,Chennai,"₹4,42,299","27,020 kms ", Petrol , 1st Owner, 2021,Maruti
323,Renault Triber 1.0 RXZ - 2019,PLATINUM,Chennai,"₹7,25,399","13,739 kms ", Petrol , 1st Owner, 2019,Renault
324,Maruti Suzuki Wagon R - 2019,PLATINUM,Chennai,"₹5,58,299","21,544 kms ", Petrol , 1st Owner, 2019,Maruti
325,Maruti Suzuki Alto K10 VXi - 2016,PLATINUM,Chennai,"₹3,54,299","13,816 kms ", Petrol , 1st Owner, 2016,Maruti
326,Hyundai Elite i20 ASTA 1.2 O  - 2016,PLATINUM,Chennai,"₹6,73,599","23,817 kms ", Petrol , 1st Owner, 2016,Hyundai
327,Hyundai Grand i10 Sportz O 1.2 MT - 2017,PLATINUM,Chennai,"₹5,25,099","60,985 kms ", Petrol , 1st Owner, 2017,Hyundai
328,Hyundai Verna SX CRDi AT - 2012,GOLD,Chennai,"₹5,25,000","80,000 kms ", Diesel,, 2012,Hyundai
329,Volkswagen Polo Comfortline 1.2L P - 2018,GOLD,Chennai,"₹6,75,000","30,123 kms ", Petrol,, 2018,Volkswagen
330,Renault Kwid RXT - 2016,GOLD,Chennai,"₹3,25,000","67,000 kms ", Petrol,, 2016,Renault
331,Renault Triber RXT - 2020,GOLD,Chennai,"₹6,45,000","26,123 kms ", Petrol,, 2020,Renault
332,Maruti Suzuki Ertiga VXI Limited Edition - 2017,GOLD,Chennai,"₹7,85,000","60,123 kms ", Petrol,, 2017,Maruti
333,Mahindra TUV300 T8 AMT - 2016,GOLD,Chennai,"₹6,90,000","52,123 kms ", Diesel,, 2016,Mahindra
334,Maruti Suzuki Celerio LXi AMT - 2018,GOLD,Chennai,"₹4,25,000","11,123 kms ", Petrol,, 2018,Maruti
335,Hyundai Elite i20 Magna Executive 1.2 - 2019,GOLD,Chennai,"₹6,45,000","41,233 kms ", Petrol,, 2019,Hyundai
336,Maruti Suzuki Swift ZXi - 2016,PLATINUM,Chennai,"₹5,29,699","50,141 kms ", Petrol , 1st Owner, 2016,Maruti
337,Maruti Suzuki Ertiga - 2018,PLATINUM,Bangalore,"₹10,81,899","86,033 kms ", Diesel,, 2018,Maruti
338,Fiat Linea Dynamic 1.3 - 2012,PLATINUM,Kolkata,"₹2,56,000","30,000 kms ", Petrol , 1st Owner, 2012,Fiat
339,Honda City ZX EXi - 2008,PLATINUM,Bangalore,"₹2,90,000","86,924 kms ", Petrol,, 2008,Honda
340,Volkswagen Polo GT TSI - 2016,PLATINUM,Bangalore,"₹7,35,000","68,870 kms ", Petrol,, 2016,Volkswagen
341,Maruti Suzuki XL6 - 2019,PLATINUM,Bangalore,"₹12,44,799","22,292 kms ", Petrol , 2nd Owner, 2019,Maruti
342,Honda Amaze - 2014,PLATINUM,Bangalore,"₹4,74,399","44,013 kms ", Petrol , 1st Owner, 2014,Honda
343,Maruti Suzuki Wagon R 1.0 VXi Opt - 2016,PLATINUM,Bangalore,"₹3,89,399","96,250 kms ", Petrol , 2nd Owner, 2016,Maruti
344,Maruti Suzuki Swift Vxi - 2017,PLATINUM,Chennai,"₹5,62,399","59,839 kms ", Petrol , 2nd Owner, 2017,Maruti
345,Hyundai Grand i10 - 2015,PLATINUM,Chennai,"₹4,46,699","49,693 kms ", Petrol , 2nd Owner, 2015,Hyundai
346,Renault Kwid RXT 1.0 EASY R AT - 2017,PLATINUM,Bangalore,"₹4,39,999","22,223 kms ", Petrol , 1st Owner, 2017,Renault
347,Honda Amaze - 2021,PLATINUM,Bangalore,"₹9,18,999","8,030 kms ", Petrol , 2nd Owner, 2021,Honda
348,Volkswagen Polo - 2016,PLATINUM,Bangalore,"₹8,15,799","38,780 kms ", Petrol , 2nd Owner, 2016,Volkswagen
349,Maruti Suzuki Vitara Brezza ZDi - 2018,PLATINUM,Bangalore,"₹8,96,799","31,919 kms ", Diesel , 2nd Owner, 2018,Maruti
350,Hyundai i10 Sportz 1.1 iRDE2 - 2015,PLATINUM,Bangalore,"₹4,11,399","47,564 kms ", Petrol , 2nd Owner, 2015,Hyundai
351,Hyundai Grand i10 - 2013,PLATINUM,Bangalore,"₹4,98,999","42,836 kms ", Petrol , 2nd Owner, 2013,Hyundai
352,Renault Kwid RXT - 2020,GOLD,Chennai,"₹4,70,000","6,000 kms ", Petrol,, 2020,Renault
353,Tata Indica - 2007,GOLD,Chennai,"₹69,000","85,000 kms ", Diesel,, 2007,Tata
354,Mahindra TUV300 T8 - 2018,GOLD,Madurai,"₹9,25,000","27,000 kms ", Diesel,, 2018,Mahindra
355,Mahindra Scorpio LX BS IV - 2013,GOLD,Chennai,"₹4,95,000","6,90,000 kms ", Diesel,, 2013,Mahindra
356,Skoda Rapid 1.5 TDI CR Elegance - 2013,GOLD,Chennai,Ask For Price,"1,45,000 kms ", Diesel,, 2013,Skoda
357,Maruti Suzuki Ertiga ZXI Plus SHVS - 2020,GOLD,Chennai,"₹10,90,000","35,000 kms ", Petrol,, 2020,Maruti
358,Toyota Etios Liva GD - 2013,GOLD,Delhi,"₹3,00,000","1,35,000 kms ", Diesel,, 2013,Toyota
359,Tata Aria Prestige 4X4 - 2012,GOLD,Bangalore,"₹4,50,000","1,15,000 kms ", Diesel,, 2012,Tata
360,Ford Figo - 2015,PLATINUM,Bangalore,"₹3,57,999","50,488 kms ", Petrol , 2nd Owner, 2015,Ford
361,Maruti Suzuki Ignis - 2018,PLATINUM,Pune,"₹4,62,599","12,916 kms ", Petrol , 1st Owner, 2018,Maruti
362,Hyundai Elite i20 Asta 1.2 - 2016,PLATINUM,Bangalore,"₹6,95,199","30,731 kms ", Petrol , 1st Owner, 2016,Hyundai
363,Maruti Suzuki Eeco 7 STR - 2019,PLATINUM,Bangalore,"₹4,90,399","8,825 kms ", Petrol , 2nd Owner, 2019,Maruti
364,Renault Kwid RxL - 2016,PLATINUM,Bangalore,"₹3,40,099","21,627 kms ", Petrol , 3rd Owner, 2016,Renault
365,Maruti Suzuki Ertiga - 2020,PLATINUM,Bangalore,"₹9,97,899","5,580 kms ", Petrol , 2nd Owner, 2020,Maruti
366,Hyundai i10 Sportz 1.2 Kappa2 - 2013,PLATINUM,Bangalore,"₹3,51,599","41,371 kms ", Petrol , 1st Owner, 2013,Hyundai
367,Maruti Suzuki Swift Dzire Vxi - 2016,PLATINUM,Bangalore,"₹6,03,799","42,313 kms ", Petrol , 1st Owner, 2016,Maruti
368,Hyundai Elite i20 Sportz 1.2 - 2016,PLATINUM,Bangalore,"₹5,99,799","74,913 kms ", Petrol , 2nd Owner, 2016,Hyundai
369,Maruti Suzuki Wagon R 1.0 Vxi - 2018,PLATINUM,Bangalore,"₹4,56,099","74,760 kms ", Petrol , 2nd Owner, 2018,Maruti
370,Ford Ecosport - 2019,PLATINUM,Bangalore,"₹9,93,699","34,045 kms ", Diesel , 2nd Owner, 2019,Ford
371,Maruti Suzuki Ritz - 2010,PLATINUM,Bangalore,"₹3,12,299","1,43,147 kms ", Petrol , 2nd Owner, 2010,Maruti
372,Hyundai Venue - 2019,PLATINUM,Bangalore,"₹12,21,799","28,149 kms ", Petrol , 1st Owner, 2019,Hyundai
373,Maruti Suzuki Swift Vxi - 2015,PLATINUM,Bangalore,"₹5,22,999","38,049 kms ", Petrol , 2nd Owner, 2015,Maruti
374,Hyundai EON Magna Plus - 2014,PLATINUM,Bangalore,"₹3,23,399","78,895 kms ", Petrol , 2nd Owner, 2014,Hyundai
375,Hyundai Grand i10 Sportz 1.2 Kappa VTVT - 2015,PLATINUM,Bangalore,"₹5,10,799","27,027 kms ", Petrol , 2nd Owner, 2015,Hyundai
376,Mahindra XUV 500 W8 2013 - 2013,GOLD,Pune,"₹7,50,000","66,000 kms ", Diesel,, 2013,Mahindra
377,Hyundai Getz GLS - 2005,GOLD,Bangalore,"₹1,55,000","82,000 kms ", Petrol,, 2005,Hyundai
378,Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2011,GOLD,Chennai,"₹3,50,000","57,000 kms ", Petrol,, 2011,Maruti
379,Honda Amaze 1.5 VX i DTEC - 2014,GOLD,Pune,"₹4,10,000","71,000 kms ", Diesel,, 2014,Honda
380,Hyundai Eon Era Plus - 2014,GOLD,Pune,"₹2,75,000","47,000 kms ", CNG,, 2014,Hyundai
381,Hyundai Grand i10 MAGNA 1.2 VTVT - 2017,GOLD,Pune,"₹4,65,000","37,000 kms ", Petrol,, 2017,Hyundai
382,Maruti Suzuki Zen Estilo LXI Green CNG - 2007,GOLD,Bangalore,"₹1,45,000","73,000 kms ", Petrol,, 2007,Maruti
383,Hyundai Getz GLS - 2007,GOLD,Bangalore,"₹1,65,000","82,650 kms ", Petrol,, 2007,Hyundai
384,Maruti Suzuki Vitara Brezza ZXI - 2020,PLATINUM,Pune,"₹9,10,799","23,940 kms ", Petrol , 2nd Owner, 2020,Maruti
385,Renault Captur - 2018,PLATINUM,Chennai,"₹7,22,899","26,678 kms ", Petrol , 2nd Owner, 2018,Renault
386,Honda WR V - 2018,PLATINUM,Pune,"₹8,09,499","41,342 kms ", Diesel , 2nd Owner, 2018,Honda
387,Maruti Suzuki Alto 800 LXI Option - 2013,PLATINUM,Bangalore,"₹2,97,399","59,614 kms ", Petrol , 1st Owner, 2013,Maruti
388,Maruti Suzuki Alto K10 VXi AMT - 2016,PLATINUM,Bangalore,"₹4,11,999","39,550 kms ", Petrol , 2nd Owner, 2016,Maruti
389,Renault Triber - 2019,PLATINUM,Bangalore,"₹6,23,399","28,621 kms ", Petrol , 1st Owner, 2019,Renault
390,Honda Brio - 2013,PLATINUM,Bangalore,"₹3,72,399","60,437 kms ", Petrol , 1st Owner, 2013,Honda
391,Maruti Suzuki Wagon R 1.0 Vxi Plus AMT - 2018,PLATINUM,Chennai,"₹5,18,099","26,598 kms ", Petrol , 2nd Owner, 2018,Maruti
392,Honda Amaze - 2015,PLATINUM,Chennai,"₹4,85,599","62,723 kms ", Petrol , 2nd Owner, 2015,Honda
393,Maruti Suzuki Baleno - 2017,PLATINUM,Chennai,"₹6,36,899","21,145 kms ", Petrol , 2nd Owner, 2017,Maruti
394,Hyundai Grand i10 - 2013,PLATINUM,Pune,"₹3,96,999","48,699 kms ", Petrol , 1st Owner, 2013,Hyundai
